Date,state
20071101,2
20071201,2
20080101,2
20080201,4
20080301,2
20080401,4
20080501,2
20080601,2
20080701,2
20080801,4
20080901,4
20081001,4
20081101,4
20081201,4
20090101,2
20090201,2
20090301,4
20090401,4
20090501,4
20090601,2
20090701,3
20090801,1
20090901,3
20091001,1
20091101,1
20091201,3
20100101,3
20100201,3
20100301,3
20100401,3
20100501,3
20100601,3
20100701,3
20100801,3
20100901,3
20101001,1
20101101,2
20101201,2
20110101,2
20110201,2
20110301,1
20110401,1
20110501,1
20110601,4
20110701,2
20110801,1
20110901,1
20111001,3
20111101,3
20111201,3
20120101,1
20120201,1
20120301,1
20120401,3
20120501,3
20120601,3
20120701,4
20120801,2
20120901,2
20121001,2
20121101,3
20121201,3
20130101,1
20130201,1
20130301,3
20130401,4
20130501,4
20130601,1
20130701,1
20130801,1
20130901,3
20131001,3
20131101,2
20131201,2
20140101,2
20140201,4
20140301,1
20140401,1
20140501,1
20140601,3
20140701,3
20140801,3
20140901,3
20141001,4
20141101,3
20141201,3
20150101,3
20150201,1
20150301,1
20150401,3
20150501,1
20150601,2
20150701,2
20150801,4
20150901,4
20151001,4
20151101,4
20151201,4
20160101,4
20160201,4
20160301,2
20160401,2
20160501,2
20160601,2
20160701,4
20160801,2
20160901,2
20161001,2
20161101,2
20161201,1
20170101,1
20170201,3
20170301,3
20170401,1
20170501,3
20170601,3
20170701,3
20170801,1
20170901,1
20171001,3
20171101,1
20171201,1
20180101,1
20180201,1
20180301,3
20180401,1
20180501,1
20180601,1
20180701,1
20180801,4
20180901,4
20181001,2
20181101,4
20181201,4
20190101,3
20190201,1
20190301,1
20190401,2
