Date,Energy,Material,Industrials,Cons-Discr.,Cons-Staples,Helth-Care,Financials,Inf-Tech.,Telecom,Utilities,S\&P500
19850131,0.0644,0.0678,0.1138,0.1006,0.0195,0.0423,0.0778,0.086,0.0608,0.0225,0.0707
19850228,0.0311,-0.0108,-0.0083,-0.0128,0.0141,0.0157,0.0158,-0.0278,0.0035,0.0194,0.0082
19850329,-0.0399,0.0005,-0.0331,-0.0112,0.0392,0.0356,-0.0167,-0.2434,-0.0186,0.0558,-0.0068
19850430,0.0248,-0.0341,-0.032,-0.0074,-0.0266,-0.0193,0.0298,-0.0378,0.0063,-0.0188,-0.0113
19850531,-0.0065,0.0386,0.07200000000000001,0.0857,0.0762,0.0686,0.0723,0.0406,0.0543,0.0429,0.0571
19850628,-0.0204,0.0002,-0.0004,-0.0025,0.0238,0.0117,0.0113,-0.0546,0.019,0.0051,0.0107
19850731,0.0237,0.0609,0.0097,-0.0233,0.0,-0.0111,-0.0315,-0.081,-0.0326,-0.051,-0.0095
19850830,-0.0009,-0.0241,-0.0086,-0.0133,0.0018,-0.0031,-0.0199,-0.0402,0.0045,0.0207,-0.0123
19850930,-0.0313,-0.0473,-0.0605,-0.0424,0.0,-0.0383,-0.0596,-0.1328,-0.0526,-0.057,-0.0396
19851031,0.0544,-0.0048,-0.002,0.0599,0.039,0.0193,0.0873,0.1041,0.0507,0.0462,0.0394
19851129,0.0183,0.0657,0.0639,0.0566,0.0612,0.0925,0.0608,0.1119,0.0691,0.0267,0.0661
19851231,-0.0471,0.0411,0.043,0.0249,0.0346,0.0213,0.0513,0.0174,0.0563,0.0383,0.0423
19860131,-0.0809,0.0371,0.0557,0.0282,-0.0005,-0.0024,0.0297,-0.0378,0.0164,0.0111,-0.0002
19860228,0.0007,0.0629,0.0814,0.0897,0.052000000000000005,0.0415,0.0739,0.0728,0.0525,0.0395,0.0716
19860331,-0.0404,0.0273,0.0564,0.0783,0.0856,0.0991,0.0626,0.0403,0.0545,0.0368,0.05
19860430,-0.0157,-0.0377,-0.0504,-0.0225,0.0092,0.0028,-0.0535,0.0095,-0.0268,-0.0639,-0.0187
19860530,0.0732,0.0388,0.0227,0.0706,0.0538,0.0563,0.0415,-0.0123,0.0575,0.0375,0.0508
19860630,-0.0461,-0.0287,-0.0188,0.0067,0.0458,0.054000000000000006,-0.016,-0.1104,0.0561,0.0316,0.0106
19860731,-0.1031,-0.0484,-0.1093,-0.0969,-0.0417,-0.0459,-0.0729,-0.0539,-0.0061,-0.0124,-0.0629
19860829,0.1915,0.0844,0.0757,0.0418,0.0365,0.0077,0.0861,0.0131,0.0724,0.0948,0.0703
19860930,-0.0068,-0.0094,-0.0603,-0.0934,-0.10400000000000001,-0.1033,-0.0945,-0.1482,-0.1117,-0.0825,-0.0884
19861031,0.0426,0.0314,0.0755,0.0759,0.0836,0.0515,0.024,0.0938,0.0472,0.0475,0.0528
19861128,0.0358,0.0104,0.025,0.0316,0.0133,0.0207,-0.0102,0.0207,0.0251,0.0267,0.0211
19861231,0.0051,-0.0339,-0.0387,-0.0635,-0.0432,0.0035,-0.0266,-0.0428,-0.023,-0.0451,-0.0325
19870130,0.1299,0.1546,0.1383,0.1122,0.1341,0.1137,0.0714,0.1307,0.0719,0.1176,0.1318
19870227,0.0058,0.0372,0.0636,0.0866,0.0183,0.0789,0.0336,0.0839,-0.0163,-0.0147,0.0378
19870331,0.1538,0.0668,-0.0168,0.0074,0.0235,-0.0109,-0.0351,-0.0388,-0.003,-0.0069,0.0215
19870430,-0.0341,0.0098,-0.0239,-0.0259,-0.0314,-0.0171,-0.0558,-0.0325,-0.0415,-0.0397,-0.0134
19870529,0.0641,-0.0238,0.0473,0.0035,0.0182,-0.0068,-0.0095,0.0181,0.013999999999999999,-0.0039,0.0054
19870630,0.0484,0.0414,0.0221,0.0329,0.0485,0.0512,0.0473,-0.0334,0.0503,0.0252,0.0454
19870731,0.055999999999999994,0.1303,0.0702,0.061,0.0602,0.0515,0.008,0.0625,0.0302,-0.0263,0.0461
19870831,-0.0047,-0.0013,0.0444,0.0077,0.0268,0.0145,0.0544,0.045,0.0417,0.0298,0.0348
19870930,-0.0563,0.031,-0.0281,-0.0628,-0.0213,-0.0171,-0.0552,-0.0201,0.0311,-0.0413,-0.0269
19871030,-0.2528,-0.2664,-0.3166,-0.2879,-0.1897,-0.1546,-0.1909,-0.2647,-0.0845,-0.1076,-0.2231
19871130,-0.0874,0.0084,-0.0463,-0.0817,-0.0822,-0.0753,-0.0821,-0.0609,-0.0781,-0.0356,-0.0857
19871231,0.175,0.0969,0.1464,0.0925,0.0837,0.0544,0.0075,0.1625,0.0202,0.0059,0.0715
19880129,0.0591,-0.0581,0.025,0.0669,0.0723,0.0672,0.0948,-0.018000000000000002,0.0993,0.1032,0.0402
19880229,0.0508,0.1166,0.0785,0.1107,0.0494,0.0253,0.0314,0.0974,-0.0006,-0.0015,0.0432
19880331,0.0714,-0.0357,0.0169,-0.0141,-0.0075,-0.0445,-0.0428,-0.0134,-0.0495,-0.0448,-0.0354
19880429,0.0286,0.0178,0.0105,0.0028,0.0066,-0.024,-0.0103,-0.0263,0.0176,-0.004,0.0061
19880531,-0.0141,-0.0057,-0.0193,-0.0016,-0.0117,0.0034,0.0591,0.0193,0.0354,0.0204,0.003
19880630,-0.0719,0.0678,0.0692,0.0724,0.0148,0.0173,0.0479,0.0966,0.0308,0.0366,0.0433
19880729,0.0549,-0.0149,-0.0415,-0.0147,0.0062,0.0008,-0.0084,-0.0317,-0.0115,0.0105,-0.0096
19880831,-0.0163,-0.0464,-0.042,-0.0342,-0.0067,-0.0046,-0.0173,-0.0577,-0.0159,-0.0118,-0.0387
19880930,-0.0011,0.008,0.0385,0.0537,0.0665,0.025,0.0385,0.0121,0.0512,0.006999999999999999,0.0369
19881031,0.0236,0.0032,-0.0126,0.0111,0.0396,0.0054,-0.0128,-0.0263,0.0089,0.0325,0.0209
19881130,0.0007,-0.0358,-0.0245,-0.0385,-0.0206,-0.0157,-0.0352,-0.0002,-0.0047,-0.0101,-0.0202
19881230,0.0072,0.0253,0.0299,0.0027,0.0282,0.0118,-0.0185,0.0956,0.0157,0.0077,0.0124
19890131,0.0721,0.0704,0.0606,0.0589,0.0414,0.035,0.0712,0.0108,0.0629,0.0261,0.067
19890228,0.0014,-0.0213,-0.0266,-0.0135,-0.0268,-0.0182,-0.0124,-0.0022,-0.0164,-0.0288,-0.0313
19890331,0.0456,-0.0059,-0.0023,0.0121,0.0579,0.0432,0.0484,-0.052000000000000005,0.0323,0.0026,0.017
19890428,0.0357,0.02,0.0305,0.0278,0.040999999999999995,0.0403,0.0252,0.0413,0.0668,0.0409,0.0453
19890531,0.0059,-0.0033,0.0221,0.0386,0.0484,0.0217,0.0389,0.0317,0.0584,0.0394,0.0332
19890630,-0.022000000000000002,-0.0246,-0.017,-0.018000000000000002,0.0041,-0.0298,0.0035,0.0075,0.0015,0.0224,-0.0127
19890731,0.0433,0.0572,0.08900000000000001,0.0966,0.1286,0.1098,0.0836,0.0826,0.0795,0.0607,0.0839
19890831,0.0896,0.0678,0.0339,0.0356,-0.0176,-0.0219,-0.0012,0.0045,0.0019,-0.0003,0.0134
19890929,-0.026000000000000002,-0.0316,-0.0488,-0.0293,-0.0026,-0.0042,0.0146,-0.0327,0.0219,0.0034,-0.0104
19891031,-0.0359,-0.0533,-0.1125,-0.0724,-0.0154,-0.0138,-0.0491,-0.0484,-0.0142,0.002,-0.0306
19891130,0.0371,0.0288,-0.0016,-0.0002,0.03,0.0435,-0.0027,0.0113,0.0406,0.0285,0.0143
19891229,0.0548,0.0173,-0.0001,-0.0073,0.0218,0.0,-0.0202,-0.0108,0.0506,0.0387,0.0169
19900131,-0.0389,-0.0483,-0.0679,-0.0716,-0.1004,-0.0647,-0.1017,-0.0386,-0.1142,-0.0524,-0.0739
19900228,0.033,-0.0133,0.0253,0.009000000000000001,-0.0153,-0.0276,0.0247,-0.0194,-0.004,-0.0089,0.0077
19900330,0.0102,0.013000000000000001,0.0352,0.0577,0.0375,0.0239,-0.028999999999999998,0.0873,0.0434,-0.0194,0.0204
19900430,-0.0549,-0.0673,-0.0312,-0.0429,0.0099,0.0086,-0.0508,-0.0724,-0.0383,-0.0604,-0.0315
19900531,0.0805,0.0927,0.0668,0.0848,0.0938,0.1257,0.1121,0.0475,0.0867,0.0538,0.0917
19900629,-0.0462,-0.0375,-0.023,-0.0256,0.0439,0.0376,-0.0471,-0.0906,-0.0515,0.0031,-0.0127
19900731,0.085,0.0276,-0.0292,-0.0436,0.0117,0.033,-0.0467,-0.0277,-0.0767,-0.0063,-0.0112
19900831,-0.0348,-0.0717,-0.1484,-0.1635,-0.0711,-0.0663,-0.1151,-0.1377,-0.0757,-0.079,-0.0977
19900928,-0.0655,-0.0558,-0.0829,-0.1023,-0.045,-0.0426,-0.1295,-0.077,0.0438,0.0143,-0.0553
19901031,-0.0548,-0.0593,-0.0293,-0.0648,0.0464,0.0296,-0.1033,-0.0736,0.0177,0.0406,-0.0102
19901130,0.0491,0.0345,0.0774,0.1133,0.0351,0.0902,0.1762,0.1331,-0.0055,0.0153,0.0593
19901231,-0.04,0.059000000000000004,0.0482,0.0481,0.05,0.0222,0.0357,0.0853,0.0077,-0.013999999999999999,0.0222
19910131,-0.0072,0.0192,0.1233,0.1288,0.032,0.0515,0.0631,0.1919,-0.0163,-0.0292,0.0408
19910228,0.1005,0.0434,0.0374,0.0747,0.0743,0.0803,0.1293,0.0692,0.026000000000000002,0.0484,0.0673
19910328,-0.0209,-0.0031,-0.006,0.0319,0.0453,0.0298,0.0665,0.1071,0.0085,0.0075,0.0201
19910430,-0.0259,-0.0201,-0.0267,-0.004,-0.0165,-0.0101,0.0154,0.0404,-0.0101,-0.0137,-0.003
19910531,0.0055,0.0805,0.0889,0.0518,0.0279,0.0284,0.0347,0.0268,0.002,0.0232,0.0389
19910628,-0.0923,-0.004,-0.0477,-0.0659,-0.0577,-0.0423,-0.0646,-0.0765,-0.0022,-0.0303,-0.0498
19910731,0.0604,0.0225,0.0505,0.0589,0.0451,0.071,0.0994,-0.0042,0.0029,0.0274,0.042
19910830,0.0152,-0.0131,-0.0027,0.0365,0.0237,0.0161,0.043,0.0319,0.0024,0.0266,0.0194
19910930,-0.036000000000000004,-0.0094,-0.0226,-0.0147,-0.038,-0.0121,-0.0233,-0.0655,0.0024,0.0216,-0.0216
19911031,-0.0009,0.0057,-0.0079,-0.0203,0.0186,0.057,0.0234,-0.0026,0.0021,0.0155,0.0093
19911129,-0.1142,-0.0589,-0.0764,-0.0358,0.0002,-0.0301,-0.0562,-0.0484,-0.0292,-0.003,-0.0445
19911231,0.0374,0.0814,0.1446,0.1349,0.1469,0.172,0.1211,0.1251,0.0789,0.0295,0.1111
19920131,-0.0504,0.0169,0.0408,0.0537,-0.0526,-0.0862,0.0187,0.0601,-0.0457,-0.0499,-0.0217
19920228,0.0059,0.0174,0.0323,0.0432,-0.0029,-0.0118,0.0568,0.0469,-0.0396,-0.0056,0.0102
19920331,-0.0333,-0.0335,0.0142,-0.0212,-0.0095,-0.0494,-0.0284,-0.0763,-0.0068,-0.0112,-0.023
19920430,0.085,0.02,0.0347,-0.0244,0.021,-0.0004,0.0269,-0.0147,0.077,0.0265,0.0255
19920529,0.0509,0.011000000000000001,-0.0339,-0.0193,0.0051,0.0022,0.0314,0.0104,-0.0315,0.026000000000000002,0.0021
19920630,-0.0667,-0.0035,-0.0585,-0.0066,-0.0191,-0.0424,0.037000000000000005,-0.0309,0.0079,-0.0055,-0.0183
19920731,0.0838,0.0297,0.008,0.0661,0.0487,0.0614,0.0233,0.092,0.0702,0.0649,0.0384
19920831,0.035,-0.0605,-0.0491,-0.0318,0.0138,-0.0216,-0.0511,0.0229,-0.0023,-0.0191,-0.0234
19920930,-0.0191,0.0095,0.0207,0.0385,0.0086,-0.0582,0.0325,0.0272,0.0113,0.0054,0.0088
19921030,-0.0549,-0.0119,0.0314,0.0089,0.0105,0.026000000000000002,0.024,0.0384,-0.0006,0.0021,0.0025
19921130,-0.0183,0.0019,0.0361,0.0846,0.0343,0.0222,0.0619,0.0572,0.0094,-0.0002,0.0317
19921231,0.0172,0.0203,0.0435,-0.0029,-0.0151,-0.0084,0.0462,0.0557,0.0275,0.0211,0.0112
19930129,0.0333,-0.0026,0.024,0.0061,-0.0085,-0.0661,0.0244,0.0883,0.0035,0.0269,0.005
19930226,0.0579,0.0357,-0.0085,-0.0313,-0.0133,-0.0522,0.0265,-0.0075,0.0599,0.0634,0.0114
19930331,0.0289,0.0357,0.0295,0.0435,0.0178,0.0106,0.0417,-0.0171,0.0308,0.0202,0.0189
19930430,0.0284,0.0128,0.0096,-0.0269,-0.0819,0.0182,-0.0438,-0.0406,-0.0284,-0.01,-0.0271
19930528,0.0336,0.0369,0.0167,0.0432,0.0205,0.02,-0.0032,0.0513,0.01,0.0043,0.0244
19930630,-0.047,-0.0052,-0.0233,-0.0498,-0.0072,-0.0326,0.0529,0.0573,0.0509,0.0374,0.0007
19930730,0.0477,0.0199,0.0246,-0.0011,-0.0344,-0.0557,0.0194,-0.0124,0.0211,0.0166,-0.006999999999999999
19930831,0.0473,0.0162,0.0428,0.0321,0.0289,0.0307,0.0188,0.0383,0.0855,0.0315,0.0352
19930930,-0.0178,-0.0653,-0.0231,-0.0223,-0.0081,-0.0155,0.011000000000000001,0.0763,-0.0236,-0.011000000000000001,-0.01
19931029,-0.0269,0.0486,0.0212,0.0277,0.0477,0.0547,-0.0562,-0.0188,-0.0036,-0.0296,0.0179
19931130,-0.0664,0.0241,-0.0039,0.0031,-0.0039,0.0093,-0.0393,-0.0123,-0.0471,-0.0535,-0.0112
19931231,0.0025,0.0555,0.0018,0.0148,0.0089,0.0156,0.022000000000000002,0.0704,-0.002,0.0085,0.0104
19940131,0.0381,0.0513,0.051,-0.0004,0.0133,0.0058,0.0465,0.0855,0.0362,-0.0001,0.0313
19940228,-0.0264,-0.033,-0.0176,-0.0042,-0.0016,-0.0666,-0.0536,0.0077,-0.0512,-0.0544,-0.0294
19940331,-0.0507,-0.0357,-0.0301,-0.0338,-0.0456,-0.045,-0.0264,-0.0146,-0.0293,-0.0508,-0.0464
19940429,0.0748,-0.0391,0.0102,-0.0232,0.0196,0.0327,0.0242,0.0135,0.0192,0.0235,0.0103
19940531,0.005,0.0386,-0.0141,0.0045,-0.0051,0.0522,0.0496,-0.0142,0.0206,-0.0416,0.0132
19940630,-0.0203,-0.0169,-0.0279,-0.0158,-0.0341,-0.0148,-0.0408,-0.0467,0.0002,-0.037000000000000005,-0.0283
19940729,0.0321,0.0503,0.0251,0.0213,0.0312,0.0016,0.019,0.0601,0.0237,0.0515,0.0303
19940831,-0.0119,0.0691,0.0511,0.0415,0.0756,0.1126,0.0386,0.134,0.0075,0.0002,0.038
19940930,-0.0017,0.0231,-0.0553,-0.0394,-0.0191,0.0151,-0.0548,-0.0069,-0.0275,-0.0237,-0.0279
19941031,0.0766,-0.0463,0.0122,-0.0033,0.0145,-0.0164,0.0032,0.0473,-0.0144,0.0141,0.019
19941130,-0.0744,-0.0688,-0.064,-0.0319,-0.016,0.013999999999999999,-0.0633,-0.0259,-0.0405,-0.0313,-0.0402
19941230,-0.027000000000000003,0.0395,0.0086,0.017,0.017,0.0111,0.0079,0.0363,-0.0085,0.0094,0.0107
19950131,0.0066,-0.047,0.0115,-0.0002,0.0233,0.055999999999999994,0.0725,-0.0063,0.0672,0.0502,0.022000000000000002
19950228,0.0507,0.0523,0.0278,0.0205,0.026000000000000002,0.0152,0.0422,0.0764,-0.0032,0.0151,0.0356
19950331,0.0346,0.0663,0.0319,0.0237,0.0278,0.0255,0.0006,0.0413,0.0025,-0.0104,0.0255
19950428,0.0106,-0.0172,0.0394,-0.0067,0.0227,0.0282,0.0264,0.0732,0.0249,0.023,0.0252
19950531,0.0415,0.009000000000000001,0.0205,0.0218,0.0626,0.0188,0.0668,0.0359,-0.0091,0.0553,0.0349
19950630,-0.0644,0.027999999999999997,0.0343,0.0296,-0.011000000000000001,0.0401,-0.0004,0.0566,0.0118,-0.0101,0.0196
