Date,Energy,Material,Industrials,Cons-Discr.,Cons-Staples,Helth-Care,Financials,Inf-Tech.,Telecom,Utilities,S\&P500
19950731,0.0492,0.027000000000000003,0.0348,0.035,-0.0035,0.0358,0.0305,0.0211,0.0339,0.0041,0.0293
19950831,-0.0231,-0.0058,0.0241,-0.0142,-0.0099,0.0103,0.048,-0.0085,0.0371,-0.0013,-0.0011
19950929,-0.0091,0.0001,0.0226,0.0174,0.0634,0.0776,0.0546,0.0039,0.0458,0.0531,0.0381
19951031,-0.0264,-0.0674,-0.0273,-0.0613,0.0123,-0.0219,-0.0313,-0.0597,0.0332,0.0027,-0.0082
19951130,0.049,0.057999999999999996,0.0575,0.0484,0.05,0.0508,0.0602,0.0308,0.0194,0.0128,0.0406
19951229,0.0519,-0.026000000000000002,-0.0008,0.0111,0.0178,0.049,-0.0014,-0.0693,0.0406,0.0428,0.013000000000000001
19960131,0.0026,0.0744,0.025,0.0027,0.0333,0.0366,0.0345,0.0065,0.0209,0.0103,0.0309
19960229,0.0359,-0.0106,0.0283,0.0129,0.0219,-0.0021,0.0178,0.0566,-0.0367,-0.0389,0.0063
19960329,0.0695,0.0369,0.0157,0.0942,-0.0147,-0.0208,0.0109,-0.0267,-0.0097,-0.0227,0.0058
19960430,0.0402,0.0097,0.015,0.0424,-0.0021,0.0137,-0.0109,0.1386,0.0433,0.0,0.0107
19960531,-0.0166,-0.0052,-0.0046,0.0395,0.0323,0.0226,0.0136,0.0313,-0.0066,0.0051,0.0214
19960628,0.0045,-0.0748,-0.0247,-0.0077,0.0347,0.0017,0.0007,-0.0566,0.0404,0.0378,0.0002
19960731,-0.0619,-0.0432,-0.0645,-0.0907,-0.0434,-0.037000000000000005,-0.0188,-0.0823,-0.0579,-0.0635,-0.0493
19960830,0.0241,0.021,0.0325,0.038,-0.0289,0.0358,0.0306,0.0394,-0.0619,0.0244,0.018000000000000002
19960930,0.0303,0.002,0.0854,0.0319,0.0429,0.0838,0.0631,0.0751,0.0081,0.0125,0.0521
19961031,0.0291,-0.0137,-0.0122,-0.0179,0.0171,-0.0137,0.0563,-0.0007,0.0474,0.0407,0.023
19961129,0.0737,0.0471,0.0613,0.0483,0.0611,0.0781,0.0882,0.1557,0.0256,0.0274,0.0731
19961231,-0.0155,-0.0362,-0.0385,-0.0145,-0.0189,-0.0377,-0.0293,-0.0045,0.0273,-0.0061,-0.0244
19970131,0.0452,0.002,0.0227,0.0152,0.0477,0.0803,0.0624,0.0714,0.0169,-0.0059,0.0595
19970228,-0.0669,0.061,-0.0045,0.0213,0.028999999999999998,0.0158,0.0506,-0.0697,0.0326,-0.0114,0.004
19970331,0.0052,-0.0655,-0.0551,-0.0323,-0.0449,-0.0356,-0.0719,-0.0373,-0.1048,-0.046,-0.0462
19970430,-0.006999999999999999,-0.0092,0.0564,0.0302,0.0509,0.0702,0.0446,-0.0172,0.036000000000000004,-0.0116,0.0565
